Row Labels;Sum of msgs_per_sec;;
2026-01-17T15:59:47.0204256Z;4868;;4868
2026-01-17T15:59:48.0203657Z;5048;;5048
2026-01-17T15:59:49.0236351Z;5163;;5163
2026-01-17T15:59:50.0298937Z;5263;;5263
2026-01-17T15:59:51.0371559Z;5094;;5094
2026-01-17T15:59:52.0389264Z;5178;;5178
2026-01-17T15:59:53.0404704Z;4291;;4291
2026-01-17T15:59:54.0539965Z;5565;;5565
2026-01-17T15:59:55.0534433Z;4905;;4905
2026-01-17T15:59:56.0576146Z;5205;;5205
2026-01-17T15:59:57.0586437Z;5001;;5001
2026-01-17T15:59:58.0596319Z;5026;;5026
2026-01-17T15:59:59.0623559Z;4711;;4711
2026-01-17T16:00:00.0691609Z;4978;;4978
2026-01-17T16:00:01.0732897Z;5293;;5293
2026-01-17T16:00:02.0800373Z;4993;;4993
2026-01-17T16:00:03.0835268Z;5037;;5037
2026-01-17T16:00:04.0832357Z;4939;;4939
2026-01-17T16:00:05.0840582Z;5065;;5065
2026-01-17T16:00:06.0910275Z;4988;;4988
2026-01-17T16:00:07.0924147Z;5067;;5067
2026-01-17T16:00:08.0994476Z;4998;;4998
2026-01-17T16:00:09.1073674Z;4892;;4892
2026-01-17T16:00:10.1065349Z;5030;;5030
2026-01-17T16:00:11.1070386Z;5026;;5026
2026-01-17T16:00:12.1077537Z;4978;;4978
2026-01-17T16:00:13.1138972Z;4973;;4973
2026-01-17T16:00:14.1185442Z;5031;;5031
2026-01-17T16:00:15.1185572Z;5004;;5004
2026-01-17T16:00:16.1195406Z;5014;;5014
2026-01-17T16:00:17.1236089Z;4977;;4977
2026-01-17T16:00:18.1250155Z;4982;;4982
2026-01-17T16:00:19.1315958Z;5004;;5004
2026-01-17T16:00:20.1321053Z;4968;;4968
2026-01-17T16:00:21.1321785Z;5015;;5015
2026-01-17T16:00:22.1336856Z;5006;;5006
2026-01-17T16:00:23.1495005Z;5022;;5022
2026-01-17T16:00:24.1617106Z;5027;;5027
2026-01-17T16:00:25.1728280Z;5052;;5052
2026-01-17T16:00:26.1733382Z;4977;;4977
2026-01-17T16:00:27.1768425Z;4889;;4889
2026-01-17T16:00:28.1807872Z;5053;;5053
